id_venta,fecha_venta,id_cliente,id_propiedad,ciudad,precio_venta,tipo_propiedad,canal_venta,porcentaje_comision,monto_comision
SALE000021,2024-11-13,CUST02410,PROP03503,Ciudad de México,682527,Casa,Directo,0.0163,11131
SALE000022,2024-03-17,CUST01614,PROP03611,Ciudad de México,1507673,Casa,Corredor,0.0375,56541
SALE000023,2024-11-11,CUST02552,PROP04045,Bogotá,1211857,Comercial,Directo,0.0111,13486
SALE000024,2024-02-18,CUST01125,PROP02171,Ciudad de México,243201,Departamento,Directo,0.0143,3487
SALE000025,2023-09-25,CUST02347,PROP04648,Bogotá,383050,Departamento,Corredor,0.0484,18545
SALE000026,2023-01-27,CUST01330,PROP01243,Bogotá,769850,Casa,Directo,0.0178,13713
SALE000027,2023-02-26,CUST00025,PROP01440,Ciudad de México,330105,Departamento,Directo,0.0135,4470
SALE000028,2023-12-28,CUST02529,PROP03838,Ciudad de México,973121,Comercial,Corredor,0.0339,33009
SALE000029,2023-03-20,CUST00075,PROP01210,Bogotá,1529936,Casa,Directo,0.0146,22346
SALE000030,2023-09-08,CUST01066,PROP06732,Ciudad de México,395712,Departamento,Corredor,0.0452,17870
SALE000031,2023-08-11,CUST00146,PROP03636,Bogotá,1443039,Casa,Corredor,0.0437,63067
SALE000032,2023-05-18,CUST00436,PROP03277,Ciudad de México,204433,Departamento,Directo,0.0188,3849
SALE000033,2024-12-07,CUST02172,PROP04432,Bogotá,641274,Casa,Directo,0.0131,8410
SALE000034,2023-07-05,CUST01973,PROP03874,Ciudad de México,293286,Departamento,Corredor,0.0399,11698
SALE000035,2023-12-23,CUST02464,PROP00390,Ciudad de México,580586,Departamento,Directo,0.0126,7299
SALE000036,2023-06-17,CUST00640,PROP06448,Ciudad de México,270372,Departamento,Corredor,0.0455,12293
SALE000037,2023-11-15,CUST03276,PROP07058,Bogotá,417586,Departamento,Corredor,0.0384,16035
SALE000038,2023-06-17,CUST03007,PROP06993,Ciudad de México,824218,Casa,Corredor,0.0386,31786
SALE000039,2024-05-27,CUST02058,PROP01703,Bogotá,1093846,Casa,Corredor,0.0463,50639
SALE000040,2024-07-27,CUST03121,PROP01536,Ciudad de México,337870,Departamento,Corredor,0.0446,15068
SALE000041,2023-09-04,CUST01799,PROP01998,Bogotá,533259,Departamento,Corredor,0.0394,21029
SALE000042,2023-09-23,CUST02855,PROP07943,Bogotá,383819,Departamento,Directo,0.0138,5283
SALE000043,2024-03-31,CUST02325,PROP01798,Ciudad de México,1807481,Comercial,Directo,0.0169,30517
SALE000044,2024-04-23,CUST00916,PROP05068,Ciudad de México,2559133,Comercial,Corredor,0.0488,125008
SALE000045,2024-09-14,CUST01146,PROP04322,Bogotá,520419,Departamento,Directo,0.0142,7413
SALE000046,2023-10-20,CUST00866,PROP01845,Ciudad de México,175667,Departamento,Corredor,0.0308,5406
SALE000047,2024-10-20,CUST01505,PROP02561,Bogotá,402197,Departamento,Directo,0.0188,7556
SALE000048,2024-04-01,CUST02965,PROP07154,Bogotá,1398826,Comercial,Corredor,0.0333,46620
SALE000049,2023-09-03,CUST00688,PROP00029,Ciudad de México,315893,Departamento,Corredor,0.048,15172
SALE000050,2024-10-07,CUST01387,PROP04700,Bogotá,391358,Departamento,Corredor,0.0466,18233
SALE000051,2024-08-23,CUST00591,PROP05061,Ciudad de México,1561158,Casa,Corredor,0.0432,67432
SALE000052,2024-02-19,CUST01724,PROP00981,Ciudad de México,2980160,Comercial,Corredor,0.0469,139823
SALE000053,2024-12-16,CUST01956,PROP06759,Bogotá,434394,Departamento,Directo,0.0126,5472
SALE000054,2024-01-20,CUST02438,PROP03055,Bogotá,547708,Casa,Corredor,0.0471,25806
SALE000055,2024-09-28,CUST02406,PROP03584,Bogotá,770705,Casa,Corredor,0.0412,31778
SALE000056,2023-09-17,CUST02910,PROP05109,Ciudad de México,394116,Departamento,Directo,0.0118,4639
SALE000057,2024-08-14,CUST02978,PROP01659,Bogotá,257963,Departamento,Corredor,0.0351,9052
SALE000058,2024-05-22,CUST01467,PROP07782,Ciudad de México,322955,Departamento,Corredor,0.0458,14790
SALE000059,2023-04-02,CUST03088,PROP07522,Bogotá,768790,Comercial,Corredor,0.0469,36021
SALE000060,2024-11-07,CUST02483,PROP04821,Ciudad de México,771656,Departamento,Corredor,0.0475,36650
SALE000061,2024-05-23,CUST01528,PROP06616,Bogotá,380869,Departamento,Corredor,0.0337,12830
SALE000062,2024-01-07,CUST01733,PROP04785,Ciudad de México,1425080,Casa,Corredor,0.048,68461
SALE000063,2024-11-24,CUST00260,PROP06459,Bogotá,117256,Departamento,Corredor,0.0399,4675
SALE000064,2023-10-05,CUST00881,PROP05005,Bogotá,349635,Casa,Corredor,0.0499,17434
SALE000065,2023-07-18,CUST03085,PROP02605,Ciudad de México,1136637,Casa,Directo,0.0148,16781
SALE000066,2024-04-10,CUST02775,PROP07086,Ciudad de México,399886,Departamento,Corredor,0.035,14013
SALE000067,2024-01-01,CUST01515,PROP03962,Ciudad de México,1273037,Casa,Corredor,0.0312,39712
SALE000068,2024-04-13,CUST01004,PROP02327,Ciudad de México,745935,Departamento,Corredor,0.0433,32298
SALE000069,2024-03-09,CUST03165,PROP05408,Ciudad de México,915403,Casa,Corredor,0.0301,27553
SALE000070,2023-11-28,CUST02894,PROP00840,Bogotá,453957,Casa,Corredor,0.0467,21208
SALE000071,2023-04-15,CUST03203,PROP02415,Bogotá,189084,Departamento,Directo,0.0131,2478
SALE000072,2023-08-04,CUST00954,PROP04427,Bogotá,1291810,Casa,Corredor,0.0433,55957
SALE000073,2024-11-27,CUST01114,PROP00397,Bogotá,1263704,Casa,Directo,0.015,18952
SALE000074,2024-11-16,CUST03168,PROP05941,Ciudad de México,382847,Departamento,Corredor,0.0431,16517
SALE000075,2024-02-28,CUST00865,PROP06932,Ciudad de México,1333559,Comercial,Directo,0.0105,14044
SALE000076,2023-05-29,CUST02197,PROP00385,Bogotá,242075,Departamento,Corredor,0.0339,8214
SALE000077,2024-05-05,CUST00812,PROP05945,Bogotá,321189,Casa,Corredor,0.0479,15373
SALE000078,2023-08-12,CUST02281,PROP05698,Bogotá,298089,Departamento,Corredor,0.0384,11431
SALE000079,2023-01-29,CUST02197,PROP03583,Ciudad de México,379667,Departamento,Corredor,0.0413,15682
SALE000080,2024-06-11,CUST02898,PROP03979,Ciudad de México,278048,Departamento,Corredor,0.0391,10883
SALE000081,2024-02-25,CUST02924,PROP02606,Bogotá,1191788,Comercial,Corredor,0.0482,57463
SALE000082,2024-08-27,CUST00107,PROP07198,Bogotá,826877,Casa,Corredor,0.034,28105
SALE000083,2023-03-26,CUST02228,PROP07365,Bogotá,554164,Departamento,Corredor,0.0468,25922
SALE000084,2023-07-03,CUST01895,PROP04359,Bogotá,1246330,Casa,Corredor,0.0312,38887
SALE000085,2023-08-24,CUST02841,PROP06552,Bogotá,461263,Departamento,Corredor,0.0471,21746
SALE000086,2024-03-20,CUST02819,PROP03167,Bogotá,911546,Casa,Corredor,0.0481,43807
SALE000087,2024-08-14,CUST00299,PROP00944,Ciudad de México,236546,Departamento,Directo,0.0179,4233
SALE000088,2024-03-01,CUST01263,PROP05086,Bogotá,460177,Departamento,Corredor,0.0355,16355
SALE000089,2023-04-18,CUST02423,PROP05163,Ciudad de México,613144,Casa,Corredor,0.0323,19793
SALE000090,2024-02-20,CUST03478,PROP01786,Bogotá,208485,Departamento,Corredor,0.04,8342
SALE000091,2023-03-01,CUST02732,PROP00847,Ciudad de México,1117335,Casa,Directo,0.0167,18612
SALE000092,2023-07-01,CUST03353,PROP05156,Bogotá,187585,Departamento,Corredor,0.0464,8700
SALE000093,2023-10-22,CUST01766,PROP01482,Bogotá,419566,Comercial,Directo,0.0151,6318
SALE000094,2023-04-07,CUST00209,PROP07297,Bogotá,478697,Departamento,Directo,0.0155,7403
SALE000095,2023-09-08,CUST01859,PROP05639,Bogotá,206607,Departamento,Corredor,0.0487,10066
SALE000096,2023-08-13,CUST00047,PROP03116,Bogotá,994821,Casa,Corredor,0.031,30795
SALE000097,2023-10-31,CUST00884,PROP07229,Bogotá,356249,Casa,Directo,0.0132,4698
SALE000098,2024-04-28,CUST01386,PROP05658,Bogotá,170626,Departamento,Corredor,0.0388,6614
SALE000099,2023-04-06,CUST02913,PROP01387,Ciudad de México,480555,Departamento,Directo,0.0164,7878
SALE000100,2023-04-17,CUST00920,PROP07019,Bogotá,620275,Departamento,Corredor,0.0319,19787
SALE000101,2024-10-29,CUST00515,PROP05241,Ciudad de México,494032,Departamento,Directo,0.0187,9262
SALE000102,2024-10-17,CUST00621,PROP06641,Bogotá,545825,Casa,Directo,0.0132,7185
SALE000103,2024-07-24,CUST02492,PROP02206,Ciudad de México,185315,Departamento,Corredor,0.0337,6245
SALE000104,2024-04-29,CUST01715,PROP01281,Bogotá,305638,Departamento,Corredor,0.0418,12784
SALE000105,2023-08-18,CUST01181,PROP01599,Ciudad de México,1364901,Casa,Corredor,0.0328,44783
SALE000106,2023-03-23,CUST02201,PROP06415,Bogotá,872767,Casa,Corredor,0.0366,31944
SALE000107,2024-12-03,CUST00227,PROP01983,Bogotá,347933,Casa,Corredor,0.0472,16435
SALE000108,2023-05-24,CUST00568,PROP07479,Ciudad de México,1991348,Comercial,Directo,0.0179,35632
SALE000109,2023-06-25,CUST02932,PROP00313,Bogotá,572447,Departamento,Corredor,0.0356,20391
SALE000110,2024-11-09,CUST01286,PROP05237,Ciudad de México,1138733,Casa,Directo,0.0142,16166
SALE000111,2024-12-14,CUST02918,PROP03860,Ciudad de México,238567,Departamento,Corredor,0.0402,9579
SALE000112,2024-03-20,CUST01188,PROP06038,Ciudad de México,204288,Departamento,Corredor,0.0413,8445
SALE000113,2024-02-12,CUST00671,PROP06489,Ciudad de México,491483,Departamento,Corredor,0.036,17697
SALE000114,2024-08-30,CUST01703,PROP05298,Bogotá,398123,Departamento,Directo,0.0153,6107
SALE000115,2024-11-01,CUST02025,PROP02165,Bogotá,203988,Departamento,Corredor,0.0455,9274
SALE000116,2023-06-02,CUST03183,PROP01700,Bogotá,235445,Departamento,Corredor,0.0437,10293
SALE000117,2024-09-27,CUST00786,PROP03069,Bogotá,610993,Casa,Corredor,0.049,29950
SALE000118,2023-08-02,CUST01638,PROP01779,Ciudad de México,799834,Departamento,Corredor,0.0348,27812
SALE000119,2023-03-03,CUST00278,PROP07333,Ciudad de México,344727,Departamento,Corredor,0.0436,15017
SALE000120,2024-01-22,CUST01840,PROP04270,Bogotá,408616,Casa,Corredor,0.049,20019
SALE000121,2024-04-14,CUST02458,PROP03703,Ciudad de México,472525,Departamento,Directo,0.011,5179
SALE000122,2023-11-28,CUST02793,PROP00749,Ciudad de México,3658651,Comercial,Directo,0.0156,57145
SALE000123,2024-02-22,CUST01684,PROP06299,Ciudad de México,484517,Casa,Directo,0.0198,9614
SALE000124,2024-01-09,CUST02133,PROP05779,Ciudad de México,633866,Casa,Corredor,0.0312,19794
SALE000125,2024-10-27,CUST02853,PROP06739,Ciudad de México,2484872,Comercial,Corredor,0.0373,92583
SALE000126,2023-08-04,CUST01470,PROP01808,Bogotá,843465,Casa,Corredor,0.0317,26737
SALE000127,2024-09-28,CUST02988,PROP01534,Ciudad de México,161316,Departamento,Corredor,0.0417,6729
SALE000128,2023-08-25,CUST01760,PROP06454,Bogotá,794841,Casa,Directo,0.0185,14726
SALE000129,2023-09-25,CUST02757,PROP03797,Bogotá,1348221,Comercial,Directo,0.0124,16744
SALE000130,2024-09-12,CUST03101,PROP07905,Bogotá,529951,Departamento,Corredor,0.0341,18063
SALE000131,2024-12-31,CUST02886,PROP02282,Ciudad de México,1461169,Comercial,Corredor,0.0406,59326
SALE000132,2023-10-20,CUST02225,PROP03423,Bogotá,717089,Departamento,Directo,0.0136,9719
SALE000133,2024-07-20,CUST01599,PROP02210,Bogotá,527977,Departamento,Corredor,0.0465,24562
SALE000134,2024-03-06,CUST02548,PROP03663,Bogotá,165670,Departamento,Corredor,0.0327,5413
SALE000135,2023-08-05,CUST00901,PROP02739,Ciudad de México,998281,Casa,Directo,0.0191,19111
SALE000136,2024-12-16,CUST01074,PROP00292,Ciudad de México,914952,Casa,Corredor,0.0462,42284
SALE000137,2023-03-22,CUST00579,PROP04223,Ciudad de México,735889,Casa,Corredor,0.0303,22299
SALE000138,2023-01-24,CUST00176,PROP02741,Bogotá,96336,Departamento,Corredor,0.0356,3426
SALE000139,2024-02-18,CUST01141,PROP06746,Bogotá,425309,Departamento,Corredor,0.0483,20530
SALE000140,2023-03-25,CUST01941,PROP05214,Ciudad de México,488296,Casa,Corredor,0.0471,23000
SALE000141,2023-04-06,CUST00299,PROP07614,Bogotá,272569,Departamento,Directo,0.0149,4069
SALE000142,2024-04-29,CUST02000,PROP01951,Bogotá,273209,Departamento,Corredor,0.0409,11186
SALE000143,2023-02-27,CUST01082,PROP05209,Ciudad de México,312430,Departamento,Corredor,0.0316,9877
SALE000144,2024-11-17,CUST02202,PROP02436,Ciudad de México,583468,Departamento,Corredor,0.046,26837
SALE000145,2023-07-05,CUST01924,PROP02828,Bogotá,970814,Casa,Corredor,0.0315,30606
SALE000146,2024-03-13,CUST02460,PROP06393,Ciudad de México,602090,Departamento,Directo,0.0164,9897
SALE000147,2023-04-25,CUST01694,PROP00181,Ciudad de México,456167,Departamento,Corredor,0.0323,14724
SALE000148,2023-07-01,CUST02101,PROP05181,Bogotá,721194,Casa,Directo,0.0143,10339
SALE000149,2023-02-17,CUST01226,PROP01171,Ciudad de México,1794767,Casa,Directo,0.0136,24409
SALE000150,2024-02-27,CUST02197,PROP07799,Bogotá,116542,Departamento,Corredor,0.0383,4463
SALE000151,2023-08-23,CUST03025,PROP02744,Ciudad de México,449023,Departamento,Corredor,0.0415,18656
SALE000152,2024-09-17,CUST03128,PROP05897,Bogotá,285640,Departamento,Directo,0.0114,3257
SALE000153,2024-06-09,CUST01572,PROP06425,Ciudad de México,364592,Departamento,Corredor,0.0345,12564
SALE000154,2023-02-24,CUST03236,PROP05686,Ciudad de México,249254,Departamento,Corredor,0.0321,8003
SALE000155,2024-01-14,CUST01171,PROP01136,Bogotá,706798,Casa,Directo,0.0165,11683
SALE000156,2023-04-22,CUST01584,PROP01711,Bogotá,385370,Departamento,Corredor,0.0311,11969
SALE000157,2024-06-12,CUST02774,PROP02345,Ciudad de México,542794,Departamento,Corredor,0.0432,23431
SALE000158,2024-11-10,CUST01223,PROP04787,Bogotá,614294,Casa,Corredor,0.0495,30382
SALE000159,2024-05-13,CUST03450,PROP04658,Bogotá,1789451,Comercial,Directo,0.0189,33806
SALE000160,2023-10-08,CUST03329,PROP07285,Ciudad de México,1451644,Comercial,Directo,0.0133,19251
SALE000161,2023-10-23,CUST02732,PROP03975,Ciudad de México,188698,Departamento,Directo,0.0121,2292
SALE000162,2023-10-23,CUST02905,PROP07195,Ciudad de México,170385,Departamento,Corredor,0.0492,8384
SALE000163,2024-11-08,CUST02351,PROP03504,Bogotá,1450476,Casa,Corredor,0.0389,56388
SALE000164,2024-09-27,CUST01229,PROP03951,Bogotá,481034,Departamento,Corredor,0.037,17821
SALE000165,2023-08-03,CUST01385,PROP02359,Bogotá,232633,Departamento,Corredor,0.0325,7565
SALE000166,2024-11-01,CUST00539,PROP07871,Bogotá,542622,Departamento,Corredor,0.0333,18086
SALE000167,2024-11-09,CUST02951,PROP07019,Bogotá,615572,Departamento,Directo,0.0174,10721
SALE000168,2024-11-08,CUST01857,PROP00390,Ciudad de México,594172,Departamento,Corredor,0.034,20218
SALE000169,2024-07-03,CUST01997,PROP07843,Ciudad de México,921195,Casa,Corredor,0.0336,30934
SALE000170,2023-03-01,CUST00739,PROP07630,Bogotá,3222021,Comercial,Directo,0.0132,42602
SALE000171,2023-11-10,CUST03338,PROP06150,Ciudad de México,1053318,Casa,Corredor,0.0483,50840
SALE000172,2024-11-09,CUST00814,PROP06847,Ciudad de México,638848,Comercial,Corredor,0.0418,26695
SALE000173,2024-12-02,CUST01286,PROP03059,Bogotá,219175,Departamento,Corredor,0.0455,9972
SALE000174,2023-09-30,CUST03202,PROP04626,Bogotá,160640,Departamento,Directo,0.0172,2761
SALE000175,2024-01-18,CUST02226,PROP00159,Ciudad de México,178936,Departamento,Directo,0.0195,3489
SALE000176,2024-05-31,CUST02780,PROP07476,Bogotá,432835,Departamento,Corredor,0.0438,18961
SALE000177,2023-08-08,CUST02778,PROP01680,Ciudad de México,738033,Departamento,Corredor,0.0325,23989
SALE000178,2024-02-14,CUST02535,PROP05048,Ciudad de México,980438,Casa,Corredor,0.034,33375
SALE000179,2024-04-17,CUST03055,PROP05315,Bogotá,129930,Departamento,Corredor,0.0441,5724
SALE000180,2023-05-24,CUST02760,PROP03551,Bogotá,170646,Departamento,Directo,0.0122,2073
SALE000181,2023-04-30,CUST00448,PROP00230,Bogotá,470123,Departamento,Directo,0.0183,8587
SALE000182,2024-04-14,CUST02652,PROP05626,Bogotá,356421,Departamento,Corredor,0.0476,16963
SALE000183,2023-06-29,CUST02528,PROP01726,Bogotá,390755,Departamento,Corredor,0.0383,14961
SALE000184,2023-05-28,CUST00404,PROP03409,Bogotá,191988,Departamento,Corredor,0.0376,7227
SALE000185,2024-09-16,CUST00878,PROP04788,Bogotá,442803,Departamento,Corredor,0.0324,14353
SALE000186,2024-04-25,CUST02572,PROP04229,Bogotá,852711,Casa,Directo,0.0194,16523
SALE000187,2023-11-30,CUST02924,PROP05045,Ciudad de México,762591,Casa,Corredor,0.0397,30306
SALE000188,2024-10-12,CUST01059,PROP05840,Ciudad de México,665954,Casa,Corredor,0.0442,29409
SALE000189,2023-10-03,CUST01639,PROP01681,Ciudad de México,1056287,Casa,Corredor,0.0332,35019
SALE000190,2023-01-16,CUST02427,PROP06303,Bogotá,1326823,Comercial,Corredor,0.0408,54122
SALE000191,2023-10-13,CUST01012,PROP01296,Ciudad de México,212877,Departamento,Directo,0.0178,3783
SALE000192,2024-11-02,CUST02752,PROP02581,Bogotá,1666690,Comercial,Corredor,0.042,69931
SALE000193,2023-07-25,CUST02646,PROP06825,Ciudad de México,543195,Comercial,Corredor,0.0376,20422
SALE000194,2024-02-02,CUST02421,PROP06439,Ciudad de México,1096801,Casa,Corredor,0.0423,46393
SALE000195,2024-07-29,CUST02135,PROP03877,Bogotá,329664,Departamento,Corredor,0.0499,16453
SALE000196,2023-04-12,CUST00216,PROP02985,Ciudad de México,158129,Departamento,Directo,0.0168,2660
SALE000197,2024-08-27,CUST03350,PROP04917,Ciudad de México,1903138,Comercial,Corredor,0.0401,76244
SALE000198,2023-11-06,CUST02570,PROP05450,Bogotá,1300376,Casa,Corredor,0.0471,61257
SALE000199,2024-11-28,CUST01546,PROP01824,Ciudad de México,1758918,Comercial,Corredor,0.0394,69331
SALE000200,2023-08-11,CUST02182,PROP02329,Ciudad de México,226229,Departamento,Corredor,0.039,8832
SALE000201,2024-09-12,CUST01222,PROP05557,Ciudad de México,1084575,Casa,Corredor,0.0411,44629
SALE000202,2024-12-15,CUST00341,PROP05184,Bogotá,1556780,Comercial,Corredor,0.0364,56677
SALE000203,2024-03-12,CUST00916,PROP00359,Bogotá,520588,Departamento,Directo,0.0107,5577
SALE000204,2024-03-15,CUST00434,PROP01013,Ciudad de México,463948,Departamento,Corredor,0.0375,17417
SALE000205,2024-04-06,CUST02926,PROP05349,Ciudad de México,295334,Departamento,Corredor,0.0446,13174
SALE000206,2024-02-13,CUST00077,PROP07782,Ciudad de México,321862,Departamento,Directo,0.0149,4787
SALE000207,2024-01-21,CUST01259,PROP07974,Bogotá,565533,Casa,Corredor,0.0471,26632
SALE000208,2024-08-21,CUST01167,PROP07415,Ciudad de México,417196,Departamento,Corredor,0.0336,14035
SALE000209,2024-09-01,CUST01539,PROP05212,Bogotá,243640,Departamento,Corredor,0.0344,8391
SALE000210,2024-12-01,CUST01294,PROP02895,Ciudad de México,1334001,Casa,Corredor,0.0429,57210
SALE000211,2023-11-01,CUST00242,PROP02696,Ciudad de México,467636,Departamento,Directo,0.0182,8503
SALE000212,2023-11-08,CUST00731,PROP04097,Ciudad de México,1122051,Casa,Corredor,0.0439,49269
SALE000213,2024-11-23,CUST00707,PROP04042,Bogotá,200323,Departamento,Corredor,0.0389,7788
SALE000214,2024-04-28,CUST02112,PROP02363,Bogotá,608548,Departamento,Directo,0.0188,11460
SALE000215,2023-02-06,CUST00613,PROP05411,Ciudad de México,1181907,Casa,Corredor,0.0435,51424
SALE000216,2023-07-18,CUST03434,PROP01270,Bogotá,496706,Departamento,Corredor,0.0467,23194
SALE000217,2024-08-13,CUST01964,PROP01264,Ciudad de México,1467609,Casa,Directo,0.019,27941
SALE000218,2023-04-19,CUST03258,PROP06625,Bogotá,1143038,Casa,Corredor,0.0406,46405
SALE000219,2023-05-16,CUST00987,PROP03344,Bogotá,592633,Casa,Corredor,0.0418,24752
SALE000220,2023-05-22,CUST02981,PROP06798,Ciudad de México,451404,Departamento,Corredor,0.0433,19562
SALE000221,2023-02-22,CUST01800,PROP05637,Bogotá,1446575,Casa,Directo,0.0197,28530
SALE000222,2024-09-17,CUST01553,PROP00848,Bogotá,1050914,Casa,Corredor,0.0461,48467
SALE000223,2023-06-06,CUST01490,PROP04885,Bogotá,339508,Departamento,Corredor,0.0307,10422
SALE000224,2023-01-26,CUST01271,PROP02362,Bogotá,197264,Departamento,Corredor,0.0386,7611
SALE000225,2023-12-21,CUST01250,PROP03641,Ciudad de México,827324,Casa,Directo,0.0187,15460
SALE000226,2024-06-08,CUST00223,PROP02187,Bogotá,1073007,Casa,Corredor,0.0307,32970
SALE000227,2024-06-05,CUST00847,PROP00498,Ciudad de México,331311,Departamento,Corredor,0.0426,14115
SALE000228,2023-04-09,CUST02645,PROP07495,Ciudad de México,340258,Departamento,Corredor,0.0489,16638
SALE000229,2024-04-14,CUST01472,PROP02169,Bogotá,446385,Departamento,Corredor,0.0362,16176
SALE000230,2023-05-27,CUST02602,PROP07560,Ciudad de México,451190,Departamento,Corredor,0.0444,20052
SALE000231,2024-10-04,CUST00429,PROP06609,Ciudad de México,244559,Departamento,Corredor,0.0362,8860
SALE000232,2023-10-28,CUST03329,PROP07134,Bogotá,606584,Departamento,Corredor,0.0428,25962
SALE000233,2023-05-04,CUST01408,PROP07054,Bogotá,843816,Casa,Corredor,0.0487,41118
SALE000234,2023-09-30,CUST00993,PROP05297,Bogotá,663906,Departamento,Corredor,0.0374,24816
SALE000235,2024-12-01,CUST02017,PROP02412,Ciudad de México,1277111,Casa,Directo,0.0196,25033
SALE000236,2023-02-13,CUST00695,PROP01522,Bogotá,230963,Departamento,Corredor,0.0376,8694
SALE000237,2023-06-21,CUST02556,PROP04257,Bogotá,299130,Comercial,Corredor,0.0378,11318
SALE000238,2024-09-21,CUST02191,PROP00664,Bogotá,163924,Departamento,Corredor,0.0453,7423
SALE000239,2023-10-05,CUST00524,PROP00967,Ciudad de México,394283,Departamento,Directo,0.0136,5365
SALE000240,2024-08-03,CUST01303,PROP00550,Bogotá,381972,Departamento,Corredor,0.0366,13963
SALE000241,2024-12-07,CUST00011,PROP07503,Bogotá,2121308,Comercial,Corredor,0.0337,71513
SALE000242,2024-06-24,CUST02186,PROP01074,Bogotá,250691,Departamento,Corredor,0.0318,7966
SALE000243,2024-04-21,CUST02044,PROP04843,Ciudad de México,1276149,Comercial,Corredor,0.0468,59664
SALE000244,2024-03-05,CUST02835,PROP02137,Ciudad de México,1337660,Casa,Corredor,0.0395,52862
SALE000245,2023-07-14,CUST03278,PROP07744,Ciudad de México,465518,Departamento,Corredor,0.043,20026
SALE000246,2024-09-04,CUST02168,PROP00893,Ciudad de México,701596,Casa,Corredor,0.0396,27755
SALE000247,2024-03-05,CUST00897,PROP02769,Ciudad de México,98781,Departamento,Corredor,0.0375,3702
SALE000248,2023-09-21,CUST03414,PROP01249,Ciudad de México,1580922,Casa,Corredor,0.0382,60347
SALE000249,2024-10-15,CUST02545,PROP02434,Bogotá,372017,Departamento,Corredor,0.0316,11751
SALE000250,2024-05-01,CUST00829,PROP01191,Bogotá,262265,Departamento,Corredor,0.0435,11402
SALE000251,2023-04-17,CUST02002,PROP01738,Ciudad de México,1868524,Casa,Directo,0.0151,28257
SALE000252,2024-06-11,CUST02229,PROP00654,Bogotá,273238,Departamento,Directo,0.0107,2913
SALE000253,2024-10-28,CUST00314,PROP06028,Ciudad de México,183602,Departamento,Directo,0.0163,2990
SALE000254,2023-03-15,CUST01084,PROP00337,Bogotá,352224,Departamento,Corredor,0.0342,12043
SALE000255,2024-09-21,CUST03145,PROP04686,Bogotá,2140231,Comercial,Directo,0.0114,24365
SALE000256,2024-10-03,CUST00122,PROP00435,Bogotá,829588,Casa,Corredor,0.0495,41098
SALE000257,2024-12-04,CUST02027,PROP07690,Bogotá,269810,Departamento,Directo,0.0108,2911
SALE000258,2023-09-30,CUST00159,PROP01272,Ciudad de México,876342,Comercial,Directo,0.0173,15159
SALE000259,2023-11-16,CUST02699,PROP05164,Ciudad de México,244706,Departamento,Corredor,0.0439,10752
SALE000260,2024-10-13,CUST02273,PROP04583,Bogotá,407398,Casa,Corredor,0.0404,16472
SALE000261,2023-09-18,CUST02970,PROP01832,Ciudad de México,472009,Departamento,Corredor,0.0317,14966
SALE000262,2024-04-21,CUST03301,PROP01501,Ciudad de México,387512,Departamento,Corredor,0.0358,13890
SALE000263,2023-02-12,CUST01252,PROP02157,Ciudad de México,346290,Departamento,Corredor,0.0332,11505
SALE000264,2024-03-05,CUST00227,PROP06844,Bogotá,263577,Departamento,Corredor,0.0497,13091
