id_propiedad,tipo_propiedad,ciudad,barrio,habitaciones,tamano_m2,precio_publicado,categoria_propiedad
PROP00146,Casa,Bogotá,El Poblado,3,137,592922,Residencial
PROP00147,Comercial,Ciudad de México,Interlomas,0,579,4075245,Comercial
PROP00148,Casa,Bogotá,Rosales,4,149,645601,Residencial
PROP00149,Departamento,Ciudad de México,Roma Norte,2,141,592991,Residencial
PROP00150,Comercial,Ciudad de México,Del Valle,0,538,4458832,Comercial
PROP00151,Departamento,Ciudad de México,Roma Norte,2,149,723303,Residencial
PROP00152,Departamento,Bogotá,El Poblado,2,104,187607,Residencial
PROP00153,Departamento,Bogotá,El Poblado,2,94,226082,Residencial
PROP00154,Comercial,Bogotá,Chapinero,0,312,1594427,Comercial
PROP00155,Departamento,Ciudad de México,Interlomas,1,143,521107,Residencial
PROP00156,Departamento,Bogotá,Salitre,1,69,288176,Residencial
PROP00157,Casa,Bogotá,Santa Bárbara,2,324,823864,Residencial
PROP00158,Casa,Ciudad de México,Polanco,3,259,845025,Residencial
PROP00159,Departamento,Ciudad de México,Condesa,3,54,193791,Residencial
PROP00160,Comercial,Ciudad de México,Del Valle,0,287,1555336,Comercial
PROP00161,Comercial,Bogotá,La Candelaria,0,355,1960299,Comercial
PROP00162,Departamento,Ciudad de México,Santa Fe,1,85,396657,Residencial
PROP00163,Departamento,Bogotá,Chapinero,1,71,283242,Residencial
PROP00164,Departamento,Ciudad de México,Santa Fe,3,147,391383,Residencial
PROP00165,Departamento,Bogotá,Zona T,2,147,630368,Residencial
PROP00166,Departamento,Bogotá,Usaquén,2,134,382344,Residencial
PROP00167,Comercial,Ciudad de México,Condesa,0,205,1212586,Comercial
PROP00168,Casa,Ciudad de México,San Ángel,3,332,1149235,Residencial
PROP00169,Departamento,Bogotá,Usaquén,1,74,176861,Residencial
PROP00170,Departamento,Bogotá,El Poblado,2,101,289730,Residencial
PROP00171,Departamento,Ciudad de México,Roma Norte,3,119,273211,Residencial
PROP00172,Departamento,Ciudad de México,Roma Norte,3,52,231134,Residencial
PROP00173,Departamento,Ciudad de México,San Ángel,2,177,692823,Residencial
PROP00174,Comercial,Ciudad de México,Reforma,0,595,4433521,Comercial
PROP00175,Comercial,Bogotá,Chicó,0,225,792223,Comercial
PROP00176,Departamento,Ciudad de México,Lomas de Chapultepec,1,151,437150,Residencial
PROP00177,Comercial,Ciudad de México,Reforma,0,128,998012,Comercial
PROP00178,Departamento,Ciudad de México,Interlomas,2,50,155513,Residencial
PROP00179,Casa,Bogotá,Cedritos,5,153,719018,Residencial
PROP00180,Departamento,Ciudad de México,Santa Fe,2,101,363912,Residencial
PROP00181,Departamento,Ciudad de México,Reforma,2,163,490091,Residencial
PROP00182,Comercial,Ciudad de México,Santa Fe,0,337,1473244,Comercial
PROP00183,Departamento,Ciudad de México,Lomas de Chapultepec,4,103,286099,Residencial
PROP00184,Casa,Ciudad de México,Coyoacán,4,358,1326620,Residencial
PROP00185,Departamento,Ciudad de México,Del Valle,4,69,373281,Residencial
PROP00186,Departamento,Bogotá,Santa Bárbara,2,93,372590,Residencial
PROP00187,Departamento,Bogotá,El Poblado,1,129,269946,Residencial
PROP00188,Departamento,Ciudad de México,San Ángel,3,48,254429,Residencial
PROP00189,Casa,Ciudad de México,Condesa,6,345,1077299,Residencial
PROP00190,Departamento,Bogotá,Rosales,2,78,188523,Residencial
PROP00191,Casa,Ciudad de México,Santa Fe,3,344,1310441,Residencial
PROP00192,Casa,Bogotá,Usaquén,3,365,1734648,Residencial
PROP00193,Casa,Bogotá,Salitre,4,308,723085,Residencial
PROP00194,Departamento,Bogotá,Chapinero,3,71,213957,Residencial
PROP00195,Comercial,Ciudad de México,Interlomas,0,294,1400045,Comercial
PROP00196,Departamento,Bogotá,El Poblado,1,173,366498,Residencial
PROP00197,Departamento,Ciudad de México,Santa Fe,2,106,324212,Residencial
PROP00198,Departamento,Ciudad de México,Interlomas,2,156,830866,Residencial
PROP00199,Departamento,Ciudad de México,Santa Fe,2,94,448577,Residencial
PROP00200,Departamento,Bogotá,Chapinero,3,56,133230,Residencial
PROP00201,Casa,Ciudad de México,Condesa,6,326,1356670,Residencial
PROP00202,Departamento,Bogotá,Chapinero,1,94,201248,Residencial
PROP00203,Departamento,Bogotá,Rosales,3,150,607668,Residencial
PROP00204,Casa,Ciudad de México,Condesa,2,185,801462,Residencial
PROP00205,Departamento,Ciudad de México,Polanco,1,73,195906,Residencial
PROP00206,Departamento,Bogotá,Salitre,3,141,521844,Residencial
PROP00207,Departamento,Ciudad de México,Condesa,2,114,417839,Residencial
PROP00208,Casa,Ciudad de México,Reforma,4,171,647999,Residencial
PROP00209,Departamento,Ciudad de México,Santa Fe,1,144,383487,Residencial
PROP00210,Departamento,Ciudad de México,Lomas de Chapultepec,3,105,383119,Residencial
PROP00211,Departamento,Bogotá,Santa Bárbara,1,51,184382,Residencial
PROP00212,Casa,Ciudad de México,Santa Fe,3,243,1108174,Residencial
PROP00213,Casa,Bogotá,El Poblado,4,195,857576,Residencial
PROP00214,Casa,Ciudad de México,Roma Norte,4,218,985577,Residencial
PROP00215,Departamento,Bogotá,Zona T,3,112,502330,Residencial
PROP00216,Departamento,Bogotá,Zona T,3,178,470165,Residencial
PROP00217,Departamento,Ciudad de México,San Ángel,2,52,132169,Residencial
PROP00218,Departamento,Bogotá,Rosales,2,78,345921,Residencial
PROP00219,Departamento,Bogotá,Santa Bárbara,3,106,265755,Residencial
PROP00220,Departamento,Bogotá,Cedritos,2,85,266031,Residencial
PROP00221,Departamento,Ciudad de México,Santa Fe,3,160,501657,Residencial
PROP00222,Casa,Ciudad de México,Condesa,5,198,700467,Residencial
PROP00223,Departamento,Bogotá,Usaquén,3,81,237670,Residencial
PROP00224,Casa,Bogotá,Cedritos,3,320,936613,Residencial
PROP00225,Departamento,Bogotá,Salitre,3,90,163304,Residencial
PROP00226,Departamento,Bogotá,Cedritos,1,84,376384,Residencial
PROP00227,Departamento,Ciudad de México,Coyoacán,1,135,463295,Residencial
PROP00228,Departamento,Bogotá,Santa Bárbara,2,105,462516,Residencial
PROP00229,Departamento,Bogotá,Chapinero,3,105,292516,Residencial
PROP00230,Departamento,Bogotá,Usaquén,4,159,508906,Residencial
PROP00231,Comercial,Bogotá,Chapinero,0,237,1455877,Comercial
PROP00232,Casa,Bogotá,Cedritos,2,173,769365,Residencial
PROP00233,Departamento,Ciudad de México,Del Valle,2,153,358904,Residencial
PROP00234,Casa,Bogotá,Usaquén,4,225,589188,Residencial
PROP00235,Casa,Bogotá,Rosales,6,162,664661,Residencial
PROP00236,Casa,Ciudad de México,Santa Fe,3,246,816194,Residencial
PROP00237,Casa,Bogotá,Rosales,2,179,828994,Residencial
PROP00238,Departamento,Ciudad de México,Reforma,2,106,342200,Residencial
PROP00239,Departamento,Ciudad de México,San Ángel,1,107,309777,Residencial
PROP00240,Departamento,Bogotá,Chicó,1,156,327383,Residencial
PROP00241,Departamento,Ciudad de México,Coyoacán,1,89,232396,Residencial
PROP00242,Departamento,Bogotá,Chicó,3,49,150224,Residencial
PROP00243,Departamento,Ciudad de México,Lomas de Chapultepec,2,65,217750,Residencial
PROP00244,Comercial,Ciudad de México,San Ángel,0,359,2606767,Comercial
PROP00245,Comercial,Ciudad de México,Santa Fe,0,225,1243567,Comercial
PROP00246,Casa,Ciudad de México,Condesa,5,244,719173,Residencial
PROP00247,Casa,Ciudad de México,San Ángel,4,345,1583593,Residencial
PROP00248,Comercial,Ciudad de México,Reforma,0,548,4246140,Comercial
PROP00249,Departamento,Ciudad de México,Condesa,4,152,425304,Residencial
PROP00250,Departamento,Bogotá,Chapinero,2,138,373228,Residencial
PROP00251,Departamento,Ciudad de México,Reforma,3,58,139042,Residencial
PROP00252,Casa,Bogotá,Chapinero,4,287,928936,Residencial
PROP00253,Departamento,Bogotá,Usaquén,2,63,168935,Residencial
PROP00254,Casa,Ciudad de México,Santa Fe,5,278,787295,Residencial
PROP00255,Departamento,Bogotá,Chicó,3,143,406953,Residencial
PROP00256,Departamento,Bogotá,Cedritos,2,86,363181,Residencial
PROP00257,Casa,Ciudad de México,San Ángel,4,171,960754,Residencial
PROP00258,Departamento,Bogotá,Santa Bárbara,1,125,451340,Residencial
PROP00259,Departamento,Bogotá,Rosales,2,112,411924,Residencial
PROP00260,Departamento,Ciudad de México,Coyoacán,1,77,410232,Residencial
PROP00261,Departamento,Ciudad de México,Polanco,1,177,618495,Residencial
PROP00262,Casa,Ciudad de México,Roma Norte,2,196,760215,Residencial
PROP00263,Departamento,Bogotá,Cedritos,3,99,409480,Residencial
PROP00264,Departamento,Bogotá,Chapinero,2,113,309357,Residencial
PROP00265,Departamento,Ciudad de México,Coyoacán,2,99,448670,Residencial
PROP00266,Casa,Bogotá,La Candelaria,4,172,632037,Residencial
PROP00267,Departamento,Ciudad de México,San Ángel,2,148,811506,Residencial
PROP00268,Casa,Ciudad de México,Lomas de Chapultepec,4,308,1735506,Residencial
PROP00269,Casa,Bogotá,Cedritos,5,218,684898,Residencial
PROP00270,Departamento,Bogotá,El Poblado,4,121,218621,Residencial
PROP00271,Comercial,Bogotá,Santa Bárbara,0,178,1160985,Comercial
PROP00272,Casa,Ciudad de México,Roma Norte,4,363,1825969,Residencial
PROP00273,Departamento,Bogotá,Rosales,2,163,531754,Residencial
PROP00274,Departamento,Bogotá,La Candelaria,4,66,278130,Residencial
PROP00275,Comercial,Ciudad de México,Santa Fe,0,103,512219,Comercial
PROP00276,Casa,Ciudad de México,Polanco,3,175,712022,Residencial
PROP00277,Departamento,Bogotá,Zona T,2,125,463588,Residencial
PROP00278,Departamento,Ciudad de México,Reforma,2,142,712014,Residencial
PROP00279,Casa,Bogotá,Chapinero,6,155,687788,Residencial
PROP00280,Casa,Ciudad de México,Del Valle,4,163,769439,Residencial
PROP00281,Casa,Ciudad de México,Polanco,5,388,1401565,Residencial
PROP00282,Departamento,Bogotá,Chapinero,2,83,258236,Residencial
PROP00283,Casa,Ciudad de México,Interlomas,3,305,1283401,Residencial
PROP00284,Departamento,Bogotá,Santa Bárbara,2,60,185732,Residencial
PROP00285,Departamento,Ciudad de México,Reforma,3,76,331001,Residencial
PROP00286,Casa,Bogotá,El Poblado,2,308,1017687,Residencial
PROP00287,Comercial,Bogotá,Chicó,0,272,1123184,Comercial
PROP00288,Departamento,Bogotá,Chapinero,2,66,218896,Residencial
PROP00289,Departamento,Bogotá,El Poblado,4,119,479736,Residencial
PROP00290,Casa,Ciudad de México,Condesa,2,290,975634,Residencial
PROP00291,Departamento,Ciudad de México,Roma Norte,2,130,513600,Residencial
PROP00292,Casa,Ciudad de México,Condesa,4,198,1014725,Residencial
PROP00293,Casa,Bogotá,Zona T,4,357,867796,Residencial
PROP00294,Departamento,Bogotá,Usaquén,3,97,252120,Residencial
PROP00295,Comercial,Ciudad de México,Santa Fe,0,243,1266219,Comercial
PROP00296,Casa,Bogotá,Cedritos,6,120,359867,Residencial
PROP00297,Casa,Ciudad de México,Condesa,4,351,997960,Residencial
PROP00298,Casa,Ciudad de México,Interlomas,5,344,1570579,Residencial
PROP00299,Casa,Bogotá,Rosales,2,184,479845,Residencial
PROP00300,Departamento,Ciudad de México,Interlomas,2,113,357264,Residencial
PROP00301,Departamento,Ciudad de México,Interlomas,1,119,513564,Residencial
PROP00302,Casa,Ciudad de México,Polanco,5,390,1457013,Residencial
PROP00303,Departamento,Bogotá,Zona T,2,59,140081,Residencial
PROP00304,Departamento,Bogotá,Usaquén,3,79,222637,Residencial
PROP00305,Casa,Bogotá,Cedritos,6,367,1723054,Residencial
PROP00306,Casa,Bogotá,Zona T,2,186,694819,Residencial
PROP00307,Departamento,Bogotá,Zona T,2,96,191633,Residencial
PROP00308,Casa,Ciudad de México,Reforma,3,250,1370870,Residencial
PROP00309,Casa,Ciudad de México,Del Valle,2,158,631063,Residencial
PROP00310,Departamento,Ciudad de México,Lomas de Chapultepec,2,124,417190,Residencial
PROP00311,Casa,Bogotá,Rosales,5,145,483310,Residencial
PROP00312,Departamento,Ciudad de México,Del Valle,4,129,392731,Residencial
PROP00313,Departamento,Bogotá,Rosales,2,172,597940,Residencial
PROP00314,Departamento,Ciudad de México,Lomas de Chapultepec,2,92,334525,Residencial
PROP00315,Departamento,Ciudad de México,Coyoacán,2,136,664749,Residencial
PROP00316,Departamento,Ciudad de México,Roma Norte,3,127,587641,Residencial
PROP00317,Casa,Ciudad de México,Lomas de Chapultepec,4,138,445773,Residencial
PROP00318,Casa,Ciudad de México,San Ángel,4,179,835311,Residencial
PROP00319,Departamento,Bogotá,Salitre,2,86,228587,Residencial
PROP00320,Casa,Bogotá,Usaquén,3,307,1117967,Residencial
PROP00321,Departamento,Bogotá,Chapinero,2,119,229712,Residencial
PROP00322,Departamento,Bogotá,Santa Bárbara,2,134,366392,Residencial
PROP00323,Casa,Ciudad de México,Interlomas,3,345,1979208,Residencial
PROP00324,Departamento,Bogotá,Zona T,3,170,498597,Residencial
PROP00325,Departamento,Ciudad de México,Condesa,2,60,191219,Residencial
PROP00326,Casa,Bogotá,Usaquén,6,388,1415890,Residencial
PROP00327,Departamento,Bogotá,El Poblado,3,96,325192,Residencial
PROP00328,Casa,Ciudad de México,Santa Fe,3,347,1631400,Residencial
PROP00329,Departamento,Bogotá,El Poblado,4,62,272202,Residencial
PROP00330,Departamento,Ciudad de México,Lomas de Chapultepec,2,100,300909,Residencial
PROP00331,Departamento,Ciudad de México,Roma Norte,1,71,353847,Residencial
PROP00332,Departamento,Bogotá,Salitre,2,143,578626,Residencial
PROP00333,Departamento,Bogotá,Usaquén,4,135,453491,Residencial
PROP00334,Departamento,Bogotá,Rosales,3,86,330692,Residencial
PROP00335,Casa,Ciudad de México,Del Valle,3,237,1036174,Residencial
PROP00336,Comercial,Ciudad de México,Lomas de Chapultepec,0,174,1036658,Comercial
PROP00337,Departamento,Bogotá,Chicó,1,102,365499,Residencial
PROP00338,Departamento,Ciudad de México,San Ángel,1,160,369885,Residencial
PROP00339,Departamento,Bogotá,El Poblado,1,54,178063,Residencial
PROP00340,Comercial,Ciudad de México,Lomas de Chapultepec,0,263,2341765,Comercial
PROP00341,Comercial,Ciudad de México,Interlomas,0,293,1922563,Comercial
PROP00342,Departamento,Ciudad de México,Reforma,3,177,923934,Residencial
PROP00343,Casa,Ciudad de México,Polanco,4,225,649407,Residencial
PROP00344,Departamento,Bogotá,El Poblado,1,164,355548,Residencial
PROP00345,Departamento,Ciudad de México,Lomas de Chapultepec,2,126,592120,Residencial
PROP00346,Departamento,Bogotá,Usaquén,3,118,407418,Residencial
PROP00347,Departamento,Ciudad de México,Roma Norte,1,74,347682,Residencial
PROP00348,Departamento,Bogotá,La Candelaria,2,127,510474,Residencial
PROP00349,Departamento,Ciudad de México,Condesa,2,82,285635,Residencial
PROP00350,Casa,Ciudad de México,Condesa,3,259,933096,Residencial
PROP00351,Departamento,Ciudad de México,Reforma,2,112,478242,Residencial
PROP00352,Departamento,Bogotá,Chicó,2,108,354503,Residencial
PROP00353,Departamento,Ciudad de México,Lomas de Chapultepec,3,69,353890,Residencial
PROP00354,Departamento,Ciudad de México,Lomas de Chapultepec,2,146,426970,Residencial
PROP00355,Departamento,Ciudad de México,Interlomas,2,52,167868,Residencial
PROP00356,Departamento,Bogotá,Rosales,2,139,423039,Residencial
PROP00357,Departamento,Bogotá,Salitre,1,131,426318,Residencial
PROP00358,Departamento,Bogotá,Rosales,1,175,664931,Residencial
PROP00359,Departamento,Bogotá,La Candelaria,3,160,557627,Residencial
PROP00360,Departamento,Bogotá,El Poblado,2,171,427448,Residencial
PROP00361,Casa,Bogotá,Santa Bárbara,6,322,1050618,Residencial
PROP00362,Casa,Bogotá,La Candelaria,3,147,675629,Residencial
PROP00363,Departamento,Bogotá,Chapinero,2,158,293486,Residencial
PROP00364,Departamento,Bogotá,Usaquén,3,146,547615,Residencial
PROP00365,Departamento,Ciudad de México,Coyoacán,1,168,815795,Residencial
PROP00366,Departamento,Ciudad de México,Lomas de Chapultepec,2,155,739983,Residencial
PROP00367,Departamento,Bogotá,Chapinero,2,67,243061,Residencial
PROP00368,Departamento,Ciudad de México,Polanco,3,71,249605,Residencial
PROP00369,Departamento,Ciudad de México,Del Valle,2,79,396118,Residencial
PROP00370,Comercial,Ciudad de México,Roma Norte,0,542,2182523,Comercial
PROP00371,Departamento,Bogotá,La Candelaria,3,53,213688,Residencial
PROP00372,Departamento,Bogotá,Chicó,3,49,98079,Residencial
PROP00373,Departamento,Ciudad de México,San Ángel,3,104,552555,Residencial
PROP00374,Comercial,Bogotá,El Poblado,0,148,666627,Comercial
PROP00375,Casa,Bogotá,Cedritos,3,131,335419,Residencial
PROP00376,Departamento,Bogotá,El Poblado,3,129,435097,Residencial
PROP00377,Casa,Bogotá,Chapinero,4,232,899113,Residencial
PROP00378,Departamento,Ciudad de México,Condesa,2,109,533383,Residencial
PROP00379,Casa,Bogotá,Usaquén,3,355,842959,Residencial
PROP00380,Casa,Ciudad de México,Roma Norte,4,354,1670488,Residencial
PROP00381,Departamento,Ciudad de México,Reforma,2,137,632598,Residencial
PROP00382,Casa,Ciudad de México,Polanco,3,338,1767465,Residencial
